Sample	r_processed	r_with_adapters	bp_processed	quality_trimmed	bp_written	percent_trimmed
SRR1032873	32137148	130434	1156937328	292436417	863857405	25.33239406378631
SRR1032874	17217617	76588	619834212	43222897	576026247	7.0676907069466495
SRR1032875	17022276	60835	612801936	39828721	572534130	6.571096407241115
SRR1032876	29859391	98047	1074938076	297252832	777194882	27.698636846872652
SRR1032877	27765800	131350	999568800	175672717	822391252	17.725397991613985
SRR1032878	28799793	108250	1036792548	309586380	726666669	29.912047458118884
SRR1032880	29639343	135129	1067016348	317061828	749275376	29.778453966105495
SRR1032881	27782796	125535	1000180656	170052354	829482517	17.06673069269998
SRR1032882	28629542	123460	1030663512	275610782	754443726	26.800190632925013
SRR1032883	26348976	111480	948563136	171179168	776229401	18.16787185370864
SRR1032884	27314123	109275	983308428	260897113	721854053	26.58925394667725
SRR1032885	25258720	84437	909313920	234091555	674806472	25.789492807940302
SRR1032887	10346551	15848	413862040	140277	413638377	0.05404288830161858
SRR1032888	8300420	13792	332016800	113126	331831866	0.05570019348418514
SRR1032889	28940977	109938	1041875172	271852333	769481993	26.14451196462526
SRR1032890	26404184	33422	1056167360	318512	1055681551	0.045997350268427155
SRR1032891	11707556	17791	468302240	188927	468007686	0.06289826843450502
SRR1032892	8906611	15693	356264440	121924	356058298	0.05786207570982947
SRR1032894	30078847	107391	1082838492	221420931	860882130	20.497642412955525
SRR1032895	30539974	121607	1099439064	196179578	902650030	17.89903965064134
SRR1032896	31119750	43401	1120311000	223637819	896437533	19.983153517192996
