Sample	Cutadapt_mqc-generalstats-percent_trimmed	FastQC_mqc-generalstats-percent_duplicates	FastQC_mqc-generalstats-percent_gc	FastQC_mqc-generalstats-avg_sequence_length	FastQC_mqc-generalstats-percent_fails	FastQC_mqc-generalstats-total_sequences
SRR1032873	25.33239406378631	23.65133770279661	46.0	36.0	33.33333333333333	32137148.0
SRR1032874	7.0676907069466495	45.197079492291756	51.0	36.0	16.666666666666664	17217617.0
SRR1032875	6.571096407241115	56.63265763821816	51.0	36.0	25.0	17022276.0
SRR1032876	27.698636846872652	34.406875441209266	48.0	36.0	33.33333333333333	29859391.0
SRR1032877	17.725397991613985	51.56673848129072	51.0	36.0	25.0	27765800.0
SRR1032878	29.912047458118884	26.758335528923894	48.0	36.0	41.66666666666667	28799793.0
SRR1032880	29.778453966105495	17.93144412845986	47.0	36.0	41.66666666666667	29639343.0
SRR1032881	17.06673069269998	24.736625902565407	48.0	36.0	16.666666666666664	27782796.0
SRR1032882	26.800190632925013	5.081902647541767	48.0	36.0	33.33333333333333	28629542.0
SRR1032883	18.16787185370864	34.27867948199551	48.0	36.0	25.0	26348976.0
SRR1032884	26.58925394667725	36.86720747592304	47.0	36.0	41.66666666666667	27314123.0
SRR1032885	25.789492807940302	56.66365980148813	52.0	36.0	50.0	25258720.0
SRR1032887	0.05404288830161858	70.48852255325465	50.0	40.0	41.66666666666667	10346551.0
SRR1032888	0.05570019348418514	75.70658426585965	51.0	40.0	41.66666666666667	8300420.0
SRR1032889	26.14451196462526	47.0984760029183	51.0	36.0	41.66666666666667	28940977.0
SRR1032890	0.045997350268427155	84.38013325225612	51.0	40.0	58.333333333333336	26404184.0
SRR1032891	0.06289826843450502	85.0164730274349	52.0	40.0	41.66666666666667	11707556.0
SRR1032892	0.05786207570982947	63.97020111983419	51.0	40.0	41.66666666666667	8906611.0
SRR1032894	20.497642412955525	54.7835786262456	51.0	36.0	41.66666666666667	30078847.0
SRR1032895	17.89903965064134	57.14117557675662	51.0	36.0	33.33333333333333	30539974.0
SRR1032896	19.983153517192996	51.85023994593354	51.0	36.0	41.66666666666667	31119750.0
