Module	Section	Sample Name	Source
Cutadapt	all_sections	SRR1032884	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032884.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032888	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032888.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032873	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032873.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032890	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032890.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032891	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032891.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032878	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032878.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032896	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032896.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032885	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032885.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032876	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032876.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032877	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032877.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032883	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032883.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032880	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032880.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032882	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032882.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032881	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032881.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032894	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032894.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032889	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032889.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032875	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032875.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032887	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032887.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032895	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032895.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032892	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032892.fastq.gz_trimming_report.txt
Cutadapt	all_sections	SRR1032874	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032874.fastq.gz_trimming_report.txt
FastQC	all_sections	SRR1032877	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032877_fastqc.zip
FastQC	all_sections	SRR1032891	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032891_fastqc.zip
FastQC	all_sections	SRR1032883	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032883_fastqc.zip
FastQC	all_sections	SRR1032873	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032873_fastqc.zip
FastQC	all_sections	SRR1032887	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032887_fastqc.zip
FastQC	all_sections	SRR1032896	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032896_fastqc.zip
FastQC	all_sections	SRR1032894	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032894_fastqc.zip
FastQC	all_sections	SRR1032875	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032875_fastqc.zip
FastQC	all_sections	SRR1032874	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032874_fastqc.zip
FastQC	all_sections	SRR1032878	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032878_fastqc.zip
FastQC	all_sections	SRR1032888	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032888_fastqc.zip
FastQC	all_sections	SRR1032884	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032884_fastqc.zip
FastQC	all_sections	SRR1032880	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032880_fastqc.zip
FastQC	all_sections	SRR1032885	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032885_fastqc.zip
FastQC	all_sections	SRR1032876	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032876_fastqc.zip
FastQC	all_sections	SRR1032892	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032892_fastqc.zip
FastQC	all_sections	SRR1032890	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032890_fastqc.zip
FastQC	all_sections	SRR1032881	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032881_fastqc.zip
FastQC	all_sections	SRR1032889	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032889_fastqc.zip
FastQC	all_sections	SRR1032895	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032895_fastqc.zip
FastQC	all_sections	SRR1032882	/gpfs/afm/moxon/thomas2/APAtrap/results/SRR1032882_fastqc.zip
